roi_name,roi_value
Left-Cerebral-White-Matter,2
Left-Lateral-Ventricle,4
Left-Inf-Lat-Vent,5
Left-Cerebellum-White-Matter,7
Left-Cerebellum-Cortex,8
Left-Thalamus-Proper,10
Left-Caudate,11
Left-Putamen,12
Left-Pallidum,13
3rd-Ventricle,14
4th-Ventricle,15
Brain-Stem,16
Left-Hippocampus,17
Left-Amygdala,18
CSF,24
Left-Accumbens-area,26
Left-VentralDC,28
Left-vessel,30
Left-choroid-plexus,31
Right-Cerebral-White-Matter,41
Right-Lateral-Ventricle,43
Right-Inf-Lat-Vent,44
Right-Cerebellum-White-Matter,46
Right-Cerebellum-Cortex,47
Right-Thalamus-Proper,49
Right-Caudate,50
Right-Putamen,51
Right-Pallidum,52
Right-Hippocampus,53
Right-Amygdala,54
Right-Accumbens-area,58
Right-VentralDC,60
Right-vessel,62
Right-choroid-plexus,63
WM-hypointensities,77
Optic-Chiasm,85
CC_Posterior,251
CC_Mid_Posterior,252
CC_Central,253
CC_Mid_Anterior,254
CC_Anterior,255
lh_bankssts_part1,1001
lh_bankssts_part2,1002
lh_caudalanteriorcingulate_part1,1003
lh_caudalmiddlefrontal_part1,1004
lh_caudalmiddlefrontal_part2,1005
lh_caudalmiddlefrontal_part3,1006
lh_caudalmiddlefrontal_part4,1007
lh_cuneus_part1,1009
lh_cuneus_part2,1010
lh_entorhinal_part1,1011
lh_fusiform_part1,1012
lh_fusiform_part2,1013
lh_fusiform_part3,1014
lh_fusiform_part4,1015
lh_fusiform_part5,1016
lh_inferiorparietal_part1,1017
lh_inferiorparietal_part2,1018
lh_inferiorparietal_part3,1019
lh_inferiorparietal_part4,1020
lh_inferiorparietal_part5,1021
lh_inferiorparietal_part6,1022
lh_inferiorparietal_part7,1023
lh_inferiorparietal_part8,1024
lh_inferiortemporal_part1,1025
lh_inferiortemporal_part2,1026
lh_inferiortemporal_part3,1027
lh_inferiortemporal_part4,1028
lh_inferiortemporal_part5,1029
lh_inferiortemporal_part6,1030
lh_isthmuscingulate_part1,1031
lh_isthmuscingulate_part2,1032
lh_lateraloccipital_part1,1033
lh_lateraloccipital_part2,1034
lh_lateraloccipital_part3,1035
lh_lateraloccipital_part4,1036
lh_lateraloccipital_part5,1037
lh_lateraloccipital_part6,1038
lh_lateraloccipital_part7,1039
lh_lateraloccipital_part8,1040
lh_lateraloccipital_part9,1041
lh_lateralorbitofrontal_part1,1042
lh_lateralorbitofrontal_part2,1043
lh_lateralorbitofrontal_part3,1044
lh_lateralorbitofrontal_part4,1045
lh_lingual_part1,1046
lh_lingual_part2,1047
lh_lingual_part3,1048
lh_lingual_part4,1049
lh_lingual_part5,1050
lh_lingual_part6,1051
lh_medialorbitofrontal_part1,1052
lh_medialorbitofrontal_part2,1053
lh_medialorbitofrontal_part3,1054
lh_middletemporal_part1,1055
lh_middletemporal_part2,1056
lh_middletemporal_part3,1057
lh_middletemporal_part4,1058
lh_middletemporal_part5,1059
lh_parahippocampal_part1,1060
lh_parahippocampal_part2,1061
lh_paracentral_part1,1062
lh_paracentral_part2,1063
lh_paracentral_part3,1064
lh_parsopercularis_part1,1065
lh_parsopercularis_part2,1066
lh_parsopercularis_part3,1067
lh_parsorbitalis_part1,1068
lh_parstriangularis_part1,1069
lh_parstriangularis_part2,1070
lh_pericalcarine_part1,1071
lh_pericalcarine_part2,1072
lh_postcentral_part1,1073
lh_postcentral_part2,1074
lh_postcentral_part3,1075
lh_postcentral_part4,1076
lh_postcentral_part5,1077
lh_postcentral_part6,1078
lh_postcentral_part7,1079
lh_postcentral_part8,1080
lh_posteriorcingulate_part1,1081
lh_posteriorcingulate_part2,1082
lh_precentral_part1,1083
lh_precentral_part2,1084
lh_precentral_part3,1085
lh_precentral_part4,1086
lh_precentral_part5,1087
lh_precentral_part6,1088
lh_precentral_part7,1089
lh_precentral_part8,1090
lh_precentral_part9,1091
lh_precuneus_part1,1092
lh_precuneus_part2,1093
lh_precuneus_part3,1094
lh_precuneus_part4,1095
lh_precuneus_part5,1096
lh_precuneus_part6,1097
lh_precuneus_part7,1098
lh_rostralanteriorcingulate_part1,1099
lh_rostralmiddlefrontal_part1,1100
lh_rostralmiddlefrontal_part2,1101
lh_rostralmiddlefrontal_part3,1102
lh_rostralmiddlefrontal_part4,1103
lh_rostralmiddlefrontal_part5,1104
lh_rostralmiddlefrontal_part6,1105
lh_rostralmiddlefrontal_part7,1106
lh_rostralmiddlefrontal_part8,1107
lh_rostralmiddlefrontal_part9,1108
lh_rostralmiddlefrontal_part10,1109
lh_superiorfrontal_part1,1110
lh_superiorfrontal_part2,1111
lh_superiorfrontal_part3,1112
lh_superiorfrontal_part4,1113
lh_superiorfrontal_part5,1114
lh_superiorfrontal_part6,1115
lh_superiorfrontal_part7,1116
lh_superiorfrontal_part8,1117
lh_superiorfrontal_part9,1118
lh_superiorfrontal_part10,1119
lh_superiorfrontal_part11,1120
lh_superiorfrontal_part12,1121
lh_superiorfrontal_part13,1122
lh_superiorparietal_part1,1123
lh_superiorparietal_part2,1124
lh_superiorparietal_part3,1125
lh_superiorparietal_part4,1126
lh_superiorparietal_part5,1127
lh_superiorparietal_part6,1128
lh_superiorparietal_part7,1129
lh_superiorparietal_part8,1130
lh_superiorparietal_part9,1131
lh_superiorparietal_part10,1132
lh_superiortemporal_part1,1133
lh_superiortemporal_part2,1134
lh_superiortemporal_part3,1135
lh_superiortemporal_part4,1136
lh_superiortemporal_part5,1137
lh_superiortemporal_part6,1138
lh_superiortemporal_part7,1139
lh_supramarginal_part1,1140
lh_supramarginal_part2,1141
lh_supramarginal_part3,1142
lh_supramarginal_part4,1143
lh_supramarginal_part5,1144
lh_supramarginal_part6,1145
lh_supramarginal_part7,1146
lh_frontalpole_part1,1147
lh_temporalpole_part1,1148
lh_transversetemporal_part1,1149
lh_insula_part1,1150
lh_insula_part2,1151
lh_insula_part3,1152
lh_insula_part4,1153
rh_bankssts_part1,2001
rh_bankssts_part2,2002
rh_caudalanteriorcingulate_part1,2003
rh_caudalmiddlefrontal_part1,2004
rh_caudalmiddlefrontal_part2,2005
rh_caudalmiddlefrontal_part3,2006
rh_caudalmiddlefrontal_part4,2007
rh_cuneus_part1,2009
rh_cuneus_part2,2010
rh_cuneus_part3,2011
rh_entorhinal_part1,2012
rh_fusiform_part1,2013
rh_fusiform_part2,2014
rh_fusiform_part3,2015
rh_fusiform_part4,2016
rh_fusiform_part5,2017
rh_inferiorparietal_part1,2018
rh_inferiorparietal_part2,2019
rh_inferiorparietal_part3,2020
rh_inferiorparietal_part4,2021
rh_inferiorparietal_part5,2022
rh_inferiorparietal_part6,2023
rh_inferiorparietal_part7,2024
rh_inferiorparietal_part8,2025
rh_inferiorparietal_part9,2026
rh_inferiorparietal_part10,2027
rh_inferiortemporal_part1,2028
rh_inferiortemporal_part2,2029
rh_inferiortemporal_part3,2030
rh_inferiortemporal_part4,2031
rh_inferiortemporal_part5,2032
rh_isthmuscingulate_part1,2033
rh_isthmuscingulate_part2,2034
rh_lateraloccipital_part1,2035
rh_lateraloccipital_part2,2036
rh_lateraloccipital_part3,2037
rh_lateraloccipital_part4,2038
rh_lateraloccipital_part5,2039
rh_lateraloccipital_part6,2040
rh_lateraloccipital_part7,2041
rh_lateraloccipital_part8,2042
rh_lateraloccipital_part9,2043
rh_lateralorbitofrontal_part1,2044
rh_lateralorbitofrontal_part2,2045
rh_lateralorbitofrontal_part3,2046
rh_lateralorbitofrontal_part4,2047
rh_lingual_part1,2048
rh_lingual_part2,2049
rh_lingual_part3,2050
rh_lingual_part4,2051
rh_lingual_part5,2052
rh_lingual_part6,2053
rh_medialorbitofrontal_part1,2054
rh_medialorbitofrontal_part2,2055
rh_medialorbitofrontal_part3,2056
rh_middletemporal_part1,2057
rh_middletemporal_part2,2058
rh_middletemporal_part3,2059
rh_middletemporal_part4,2060
rh_middletemporal_part5,2061
rh_middletemporal_part6,2062
rh_parahippocampal_part1,2063
rh_parahippocampal_part2,2064
rh_paracentral_part1,2065
rh_paracentral_part2,2066
rh_paracentral_part3,2067
rh_parsopercularis_part1,2068
rh_parsopercularis_part2,2069
rh_parsopercularis_part3,2070
rh_parsorbitalis_part1,2071
rh_parstriangularis_part1,2072
rh_parstriangularis_part2,2073
rh_parstriangularis_part3,2074
rh_pericalcarine_part1,2075
rh_pericalcarine_part2,2076
rh_pericalcarine_part3,2077
rh_postcentral_part1,2078
rh_postcentral_part2,2079
rh_postcentral_part3,2080
rh_postcentral_part4,2081
rh_postcentral_part5,2082
rh_postcentral_part6,2083
rh_postcentral_part7,2084
rh_postcentral_part8,2085
rh_posteriorcingulate_part1,2086
rh_posteriorcingulate_part2,2087
rh_precentral_part1,2088
rh_precentral_part2,2089
rh_precentral_part3,2090
rh_precentral_part4,2091
rh_precentral_part5,2092
rh_precentral_part6,2093
rh_precentral_part7,2094
rh_precentral_part8,2095
rh_precentral_part9,2096
rh_precuneus_part1,2097
rh_precuneus_part2,2098
rh_precuneus_part3,2099
rh_precuneus_part4,2100
rh_precuneus_part5,2101
rh_precuneus_part6,2102
rh_precuneus_part7,2103
rh_rostralanteriorcingulate_part1,2104
rh_rostralmiddlefrontal_part1,2105
rh_rostralmiddlefrontal_part2,2106
rh_rostralmiddlefrontal_part3,2107
rh_rostralmiddlefrontal_part4,2108
rh_rostralmiddlefrontal_part5,2109
rh_rostralmiddlefrontal_part6,2110
rh_rostralmiddlefrontal_part7,2111
rh_rostralmiddlefrontal_part8,2112
rh_rostralmiddlefrontal_part9,2113
rh_rostralmiddlefrontal_part10,2114
rh_superiorfrontal_part1,2115
rh_superiorfrontal_part2,2116
rh_superiorfrontal_part3,2117
rh_superiorfrontal_part4,2118
rh_superiorfrontal_part5,2119
rh_superiorfrontal_part6,2120
rh_superiorfrontal_part7,2121
rh_superiorfrontal_part8,2122
rh_superiorfrontal_part9,2123
rh_superiorfrontal_part10,2124
rh_superiorfrontal_part11,2125
rh_superiorfrontal_part12,2126
rh_superiorfrontal_part13,2127
rh_superiorparietal_part1,2128
rh_superiorparietal_part2,2129
rh_superiorparietal_part3,2130
rh_superiorparietal_part4,2131
rh_superiorparietal_part5,2132
rh_superiorparietal_part6,2133
rh_superiorparietal_part7,2134
rh_superiorparietal_part8,2135
rh_superiorparietal_part9,2136
rh_superiorparietal_part10,2137
rh_superiortemporal_part1,2138
rh_superiortemporal_part2,2139
rh_superiortemporal_part3,2140
rh_superiortemporal_part4,2141
rh_superiortemporal_part5,2142
rh_superiortemporal_part6,2143
rh_supramarginal_part1,2144
rh_supramarginal_part2,2145
rh_supramarginal_part3,2146
rh_supramarginal_part4,2147
rh_supramarginal_part5,2148
rh_supramarginal_part6,2149
rh_supramarginal_part7,2150
rh_frontalpole_part1,2151
rh_temporalpole_part1,2152
rh_transversetemporal_part1,2153
rh_insula_part1,2154
rh_insula_part2,2155
rh_insula_part3,2156
rh_insula_part4,2157
